Group,Team,Points,Wins,Loses,Point2
B,aggin,1,1,2,-3
B,NhungQuyOngAnhQuoc,2,2,1,3
B,hehe,3,3,0,15
B,Turning-the-TABLE!!!!,0,0,3,-15
